date_found,title,company,source,location,salary,score,claude_compatibility,category,reason,url
2026-08-02,Founding Engineer / Senior Full Stack (AI-native Freight Forwarder),Stetig,arbeitnow,Frankfurt am Main,,2.8,98.0,development,High async/writing/coding signal; no salary listed.,https://www.arbeitnow.com/jobs/companies/stetig/founding-engineer-senior-full-stack-ai-native-freight-forwarder-frankfurt-am-main-208525
2026-08-02,Head of Product & Technology (m/f/x),Cara Care,arbeitnow,Germany,,1.5,64.0,documentation,Mixed async and real-time tasks; no salary listed.,https://www.arbeitnow.com/jobs/companies/cara-care/remote-head-of-product-technology-germany-236010
2026-08-02,Product Engineer,SuperPlane,remoteok,Remote,"$60,000–$90,000/yr",0.8,46.0,development,Low async signal or live-work required; $60k salary.,https://remoteOK.com/remote-jobs/remote-product-engineer-superplane-1135739
2026-08-02,Entry Level Virtual Assistant $14 $18 hour,Filipino Contractors,remoteok,"North Miami Beach,",$14,0.0,42.0,operations,Low async signal or live-work required; $14k salary.,https://remoteOK.com/remote-jobs/remote-entry-level-virtual-assistant-14-18-hour-filipino-contractors-1135742
2026-08-02,Range Keeper,Black McDonald Limited,remoteok,"Burwash,",,3.5,36.0,development,Low async signal or live-work required; no salary listed.,https://remoteOK.com/remote-jobs/remote-range-keeper-black-amp-mcdonald-limited-1135751
2026-08-02,Customer Success Manager (m/w/d) / FinTech - FiBu / Datev Erfahrung - 100% remote,BuchhaltungsButler,arbeitnow,Berlin,,2.0,30.0,writing,Low async signal or live-work required; no salary listed.,https://www.arbeitnow.com/jobs/companies/buchhaltungsbutler/customer-success-manager-fintech-fibu-datev-erfahrung-100-remote-berlin-361354
2026-08-02,Human Resources Coordinator,Pacific Health Group,remoteok,"San Diego, San Diego, California, United States",$28,0.0,26.0,documentation,Low async signal or live-work required; $28k salary.,https://remoteOK.com/remote-jobs/remote-human-resources-coordinator-pacific-health-group-1135783
2026-08-02,Journalist,Citywire EspaÃ±a,remoteok,"Madrid, Madrid, Comunidad de Madrid, EspaÃ±a",$100,2.5,26.0,research,Low async signal or live-work required; $100k salary.,https://remoteOK.com/remote-jobs/remote-journalist-citywire-espana-1135763
2026-08-02,Journalist Citywire Spain,Citywire,remoteok,"Madrid, Madrid, Comunidad de Madrid, EspaÃ±a",$100,2.5,26.0,research,Low async signal or live-work required; $100k salary.,https://remoteOK.com/remote-jobs/remote-journalist-citywire-spain-citywire-1135761
2026-08-02,Remote - Ingenieur / Software-Architekt / KI-Nutzer,DAI Software GmbH,arbeitnow,Darmstadt,,0.5,20.0,development,Low async signal or live-work required; no salary listed.,https://www.arbeitnow.com/jobs/companies/dai-software-gmbh/remote-ingenieur-software-architekt-ki-nutzer-darmstadt-77943
2026-08-02,Freelance Creative Director,BMWL,remoteok,"California, California, United States",$85,4.2,16.0,support,Low async signal or live-work required; $85k salary.,https://remoteOK.com/remote-jobs/remote-freelance-creative-director-bmwl-1135901
2026-08-02,Other areas,Zegogo Corporation,remoteok,"Northern Areas,",,0.0,12.0,development,Low async signal or live-work required; no salary listed.,https://remoteOK.com/remote-jobs/remote-other-areas-zegogo-corporation-1135758
2026-08-02,AI Solution Architect (m/w/d),virtual7 GmbH,arbeitnow,Homeoffice,,0.0,10.0,development,Low async signal or live-work required; no salary listed.,https://www.arbeitnow.com/jobs/companies/virtual7-gmbh/remote-ai-solution-architect-nurnberg-mittelfranken-24542
2026-08-02,Estimator,MTrec Recruitment,remoteok,"Consett,",,0.5,8.0,development,Low async signal or live-work required; salary mentioned but unclear.,https://remoteOK.com/remote-jobs/remote-estimator-mtrec-recruitment-1135768
2026-08-02,Chief Operating Officer,U.S. Hunger,remoteok,"Longwood, Longwood, Florida, United States",,1.0,8.0,other,Low async signal or live-work required; no salary listed.,https://remoteOK.com/remote-jobs/remote-chief-operating-officer-u-s-hunger-1135756
2026-08-02,Voice Over Artist,Bored Panda,remoteok,"Vilnius, Vilnius, Vilniaus, Lithuania",,0.0,8.0,support,Low async signal or live-work required; no salary listed.,https://remoteOK.com/remote-jobs/remote-voice-over-artist-bored-panda-1135765
2026-08-02,Client Onboarding Manager,Connecteam,remoteok,"Brooklyn, Brooklyn, New York, United States",$220,3.8,8.0,support,Low async signal or live-work required; $220k salary.,https://remoteOK.com/remote-jobs/remote-client-onboarding-manager-connecteam-1135743
2026-08-02,Accounts Assistant,CUBE Construction Group Ltd.,remoteok,"Bridgetown,",,1.0,8.0,support,Low async signal or live-work required; no salary listed.,https://remoteOK.com/remote-jobs/remote-accounts-assistant-cube-construction-group-ltd-1135829
2026-08-02,Remote Head of CRM / Retention Lead - D2C (m/w/d),Turnover Recruitment GmbH,arbeitnow,Hamburg,,1.2,8.0,other,Low async signal or live-work required; no salary listed.,https://www.arbeitnow.com/jobs/companies/turnover-recruitment-gmbh/remote-head-of-crm-retention-lead-d2c-hamburg-92765
2026-08-02,Remote Teamlead Performance Marketing Meta (m/w/d),Turnover Recruitment GmbH,arbeitnow,Hamburg,,1.2,8.0,other,Low async signal or live-work required; no salary listed.,https://www.arbeitnow.com/jobs/companies/turnover-recruitment-gmbh/remote-teamlead-performance-marketing-meta-hamburg-357969
